UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100052105922W500,100/05-21-059-22W5/00,0409490,Cardium,Core Laboratories Canada,2060.5,2455.0,N,Meter Run,2068.0,28.0,1164.0,22.0,0.0,0.0045,0.0274,0.0,0.0002,0.7966,0.082,0.0577,0.0071,0.0179,0.0024,0.0022,0.001,0.001,,,,,0.716,20.7,,45.34,4549.4,216.7,102.8,AB,2009-12-01
100071606420W500,100/07-16-064-20W5/00,0031175,Notikewin,Core Laboratories,1555.7,1564.2,N,,,,,,0.0,0.0064,0.0097,0.0001,0.0007,0.9047,0.051,0.0158,0.0028,0.0034,0.0013,0.0009,0.001,0.0023,,,,,0.626,,,,,,,AB,2004-02-27
100071606420W500,100/07-16-064-20W5/00,0031175,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1555.7,1564.2,Y,,,,,,0.0,0.0055,0.0104,0.0,0.0003,0.9091,0.0498,0.0152,0.0026,0.003,0.0012,0.0008,0.0009,0.0012,,,,,0.62,,,,,,,AB,1999-07-12
100072105922W500,100/07-21-059-22W5/00,0082783,Cardium B,Core Laboratories Canada,1893.0,1897.5,Y,"1"" Bypass",94.0,-3.0,121.0,22.0,0.0,0.0047,0.0145,0.0,0.0002,0.8069,0.0803,0.055,0.0065,0.0182,0.0045,0.0045,0.0025,0.0022,,,,,0.722,20.9,,46.52,4556.0,219.0,94.6,AB,2012-03-09
100072805519W500,100/07-28-055-19W5/00,0390785,GETHING,AGAT Laboratories Ltd.,2664.0,2708.0,N,FLOWLINE,414.0,18.0,450.0,21.0,0.0,0.0171,0.0015,0.0,0.0001,0.6825,0.1057,0.1027,0.0216,0.0411,0.0098,0.009,0.005,0.0039,,,,,0.873,25.3,,55.76,4549.52,245.41,104.5,AB,2008-03-18
100072905619W500,100/07-29-056-19W5/00,0056693,Commingled Pool 005,Core Laboratories Canada,2129.2,2159.0,Y,Separator Meter Run @ 07-29,406.0,14.0,366.0,22.0,0.0,0.0097,0.0067,0.0,0.0001,0.7668,0.0986,0.0691,0.0083,0.0224,0.006,0.0061,0.0033,0.0029,,,,,0.765,22.2,,49.31,4568.1,227.4,101.2,AB,2012-05-23
100082205720W500,100/08-22-057-20W5/00,0408609,Cardium,Core Laboratories Canada,2117.5,2571.0,N,Dry Flow Meter Block Vent @ 2-22,1000.0,16.0,803.0,22.0,0.0,0.0056,0.0082,0.0,0.0001,0.8174,0.0855,0.0534,0.0058,0.0144,0.0031,0.003,0.0016,0.0019,,,,,0.706,20.5,,45.94,4577.8,217.6,98.5,AB,2009-11-24
100082205720W500,100/08-22-057-20W5/00,0408609,Cardium KK,Core Laboratories Canada,2117.5,2573.0,N,Separator Meter Run,1000.0,3.0,980.0,22.0,0.0,0.0065,0.0072,0.0,0.0001,0.8135,0.0908,0.052,0.0062,0.0174,0.0026,0.0022,0.0008,0.0007,,,,,0.705,20.4,,45.88,4586.1,217.8,96.2,AB,2012-01-20
100082805418W500,100/08-28-054-18W5/00,0410555,Cardium,AGAT Laboratories,1952.7,2473.0,N,METER RUN,40.0,19.0,1.0,21.0,0.0,0.0044,0.2947,0.0001,0.0001,0.5628,0.0621,0.0391,0.0054,0.0138,0.0046,0.0047,0.0041,0.0041,,,,,0.816,23.6,,34.53,4216.4,196.0,103.3,AB,2009-07-21
100100106518W500,100/10-01-065-18W5/00,0020013,Notikewin,Core Laboratories,1385.0,1391.1,N,,,,,,0.0,0.0074,0.0183,0.0001,0.0004,0.9277,0.0248,0.0128,0.0029,0.0026,0.001,0.0005,0.0005,0.001,,,,,0.608,,,,,,,AB,2004-02-26
100100106518W500,100/10-01-065-18W5/00,0020013,Notikewin,Core Laboratories,2271.0,2292.1,N,,,,,,0.0,0.0067,0.0168,0.0001,0.0005,0.9295,0.0247,0.0128,0.003,0.0028,0.0012,0.0007,0.0012,0.0001,,,,,0.606,,,,,,,AB,2001-05-03
100100106518W500,100/10-01-065-18W5/00,0020013,Notikewin B,Core Laboratories,1385.0,1391.1,N,Wet Meter Run,193.0,22.0,194.0,22.0,0.0,0.0081,0.0182,0.0,0.0005,0.9284,0.0243,0.0124,0.0028,0.0025,0.001,0.0005,0.0005,0.0008,,,,,0.607,17.6,,39.31,4591.3,197.3,100.9,AB,2005-07-25
100100106518W500,100/10-01-065-18W5/00,0020013,Notikewin,Core Laboratories,1385.0,1391.1,N,Test Meter Run,225.0,18.0,192.0,22.0,0.0,0.0076,0.0225,0.0,0.0005,0.9242,0.0241,0.0124,0.0028,0.0026,0.001,0.0005,0.0005,0.0013,,,,,0.61,17.7,,39.22,4584.0,197.2,101.8,AB,2004-08-19
100100306518W500,100/10-03-065-18W5/00,0021217,Notikewin,Core Laboratories,1375.5,1378.5,N,,,,,,0.0,0.0051,0.0132,0.0001,0.0004,0.9115,0.0377,0.017,0.0032,0.0039,0.0016,0.0011,0.0014,0.0038,,,,,0.63,,,,,,,AB,2001-05-03
100100306518W500,100/10-03-065-18W5/00,0021217,Notikewin,Core Laboratories,1375.5,1378.5,N,,,,,,0.0,0.0058,0.0148,0.0001,0.0004,0.91,0.0373,0.0168,0.0033,0.0039,0.0016,0.0011,0.0014,0.0036,,,,,0.629,,,,,,,AB,2004-02-26
100100706418W500,100/10-07-064-18W5/00,0020309,Notikewin,Core Laboratories,1446.0,1463.0,N,,,,,,0.0,0.0086,0.0117,0.0001,0.0004,0.9016,0.0408,0.0208,0.004,0.0052,0.0019,0.0013,0.0014,0.0022,,,,,0.636,,,,,,,AB,2001-05-03
100100805720W500,100/10-08-057-20W5/00,0131755,Cardium,Core Laboratories,1874.0,1877.0,N,Separator Meter Run,725.0,11.0,708.0,22.0,0.0,0.0067,0.0071,0.0,0.0001,0.7823,0.0986,0.0658,0.008,0.0192,0.0045,0.0044,0.0022,0.0011,,,,,0.74,21.4,,47.9,4574.0,223.7,92.0,AB,2007-07-09
100100805720W500,100/10-08-057-20W5/00,0131755,Cardium,Core Laboratories,1874.0,1877.0,N,,,,,,0.0,0.0061,0.009,0.0001,0.0001,0.7829,0.1008,0.0667,0.0071,0.0168,0.0038,0.0037,0.0015,0.0014,,,,,0.734,,,,,,,AB,2003-03-18
100101406420W500,100/10-14-064-20W5/00,0026446,Notikewin,Core Laboratories,1541.4,1561.8,N,,,,,,0.0,0.0057,0.0087,0.0001,0.0003,0.9109,0.0458,0.0157,0.0028,0.0034,0.0014,0.001,0.0013,0.003,,,,,0.626,,,,,,,AB,2004-02-27
100101406420W500,100/10-14-064-20W5/00,0026446,Notikewin,Core Laboratories,1541.4,1561.8,N,Test Meter Run,472.0,19.0,430.0,22.0,0.0,0.006,0.0157,0.0,0.0003,0.9049,0.0456,0.0154,0.0027,0.0033,0.0013,0.0009,0.0012,0.0027,,,,,0.627,18.1,,40.72,4589.3,201.5,97.2,AB,2004-08-17
100101406420W500,100/10-14-064-20W5/00,0026446,Notikewin,Core Laboratories,1541.4,1561.8,N,,,,,,0.0,0.0057,0.0082,0.0001,0.0003,0.9116,0.0464,0.0156,0.0027,0.0034,0.0013,0.0009,0.0012,0.0027,,,,,0.624,,,,,,,AB,2001-05-03
100101406420W500,100/10-14-064-20W5/00,0026446,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1541.1,1549.6,Y,,,,,,0.0,0.0053,0.0111,0.0,0.0003,0.9111,0.0469,0.0158,0.0027,0.003,0.0011,0.0008,0.0008,0.0011,,,,,0.619,,,,,,,AB,1999-07-13
100102406420W500,100/10-24-064-20W5/00,0024022,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1487.1,1494.7,Y,,,,,,0.0,0.0053,0.0097,0.0,0.0004,0.9184,0.0426,0.0146,0.0026,0.0028,0.0011,0.0008,0.0008,0.0009,,,,,0.614,,,,,,,AB,1999-07-14
100102406420W500,100/10-24-064-20W5/00,0024022,Notikewin,Core Laboratories,1487.1,1494.7,N,Test Meter Run,415.0,17.0,372.0,22.0,0.0,0.0062,0.011,0.0,0.0004,0.915,0.0422,0.0147,0.0025,0.0031,0.0012,0.0008,0.0009,0.002,,,,,0.619,17.9,,40.55,4596.2,200.8,98.2,AB,2004-08-16
100102406420W500,100/10-24-064-20W5/00,0024022,Notikewin,Core Laboratories,1487.1,1494.7,N,,,,,,0.0,0.0066,0.0108,0.0003,0.0004,0.9131,0.0427,0.0148,0.0026,0.0031,0.0012,0.0008,0.001,0.0026,,,,,0.622,,,,,,,AB,2004-02-27
100102406420W500,100/10-24-064-20W5/00,0024022,Notikewin,Core Laboratories,1487.1,1494.7,N,,,,,,0.0,0.0049,0.0087,0.0001,0.0004,0.9162,0.0449,0.0145,0.0024,0.003,0.0011,0.0008,0.0009,0.0022,,,,,0.618,,,,,,,AB,2001-05-03
100102906418W500,100/10-29-064-18W5/00,0020396,Notikewin,Core Laboratories,1389.9,1404.2,N,,,,,,0.0,0.0088,0.0135,0.0001,0.0004,0.9176,0.0348,0.0141,0.0028,0.003,0.0012,0.0008,0.0009,0.0021,,,,,0.619,,,,,,,AB,2004-02-26
100102906418W500,100/10-29-064-18W5/00,0020396,Notikewin,Core Laboratories,1389.9,1404.2,N,,,,,,0.0,0.0071,0.0129,0.0007,0.0004,0.9207,0.0343,0.014,0.0027,0.0029,0.0012,0.0007,0.0008,0.0016,,,,,0.614,,,,,,,AB,2001-05-03
100110105720W500,100/11-01-057-20W5/00,0078876,CARDIUM FM,Core Labs,2025.0,2825.0,N,,,,,,0.0,0.0072,0.0076,0.0,0.0002,0.8418,0.0854,0.0418,0.005,0.0088,0.0011,0.0008,0.0003,0.0001,,,,,0.67,,,,,,,AB,2000-01-27
100110105720W500,100/11-01-057-20W5/00,0078876,CARDIUM FM,Core Laboratories Canada Ltd.,2025.0,2036.0,N,,,,,,0.0,0.0073,0.008,0.0001,0.0002,0.8536,0.0826,0.0343,0.0032,0.0066,0.0014,0.0013,0.0007,0.0008,,,,,0.661,,,,,,,AB,2000-03-14
100110606518W500,100/11-06-065-18W5/00,0030802,Notikewin,Core Laboratories,1386.5,1390.2,N,,,,,,0.0,0.0057,0.0141,0.0001,0.0004,0.9115,0.038,0.0165,0.0031,0.0038,0.0015,0.0011,0.0013,0.003,,,,,0.626,,,,,,,AB,2004-02-26
